id,language,language_display,glottocode,feature,latitude,longitude
1,Luiseno-Juaneño,Luiseno-Juaneño,luis1253,Benefactive object only; both bases (32),33.3184,-116.939
2,Cahuilla,Cahuilla,cahu1264,Benefactive object only; both bases (32),33.5324,-116.691
3,Cupeño,Cupeño,cupe1243,Benefactive object only; both bases (32),33.3148,-116.515
4,Hopi,Hopi,hopi1249,Benefactive object only; both bases (32),35.7653,-110.535
5,Luiseño,Luiseño,luis1254,Benefactive object only; both bases (32),33.3184,-116.939
6,Northern Paiute,Northern Paiute,nort2954,Benefactive object only; both bases (32),40.0799,-119.536
7,Tübatulabal,Pahka’anil (Tübatulabal),tuba1278,Benefactive object only; both bases (32),35.327,-117.163
8,Serrano,Serrano,serr1255,Benefactive object only; both bases (32),33.9479,-116.772
9,Shoshoni,Shoshoni,shos1248,Benefactive object only; both bases (32),41,-116
10,Southern Paiute,Southern Paiute,sout2969,Benefactive object only; both bases (32),37,-114
11,Panamint,Tümpisa (Panamint),pana1305,Benefactive object only; both bases (32),36.0007,-117.901
12,Ute,Ute,utee1244,Benefactive object only; both bases (32),38,-109
13,Bari,Bari,bari1284,Benefactive object only; both bases (32),4.19522,31.0723
14,Turkana,Turkana,turk1308,Benefactive object only; both bases (32),4.30688,35.7101
15,Bauni,Barupu-Bauni,wara1302,Benefactive object only; both bases (32),-3.07263,142.012
16,Yimas,Yimas,yima1243,Benefactive object only; both bases (32),-4.71731,143.572
17,Mian,Mian,mian1256,Benefactive object only; both bases (32),-4.70881,141.523
18,Nez Perce,Nez Perce,nezp1238,Benefactive object only; both bases (32),46.3073,-116.408
19,Desano,Desano,desa1247,Benefactive object only; transitive base only (24),0.58157,-69.4955
20,Kotiria,Kotiria,guan1269,Benefactive object only; transitive base only (24),1.07554,-69.5705
21,Tucano,Tucano,tuca1252,Benefactive object only; transitive base only (24),0.579755,-69.5763
22,Barasana-Eduria,Barasana-Eduria,bara1380,Benefactive object only; transitive base only (24),0.02193,-70.808
23,Carapana,Carapana,cara1272,Benefactive object only; transitive base only (24),0.06168,-69.6465
24,Cubeo,Cubeo,cube1242,Benefactive object only; transitive base only (24),1.32382,-70.1939
25,Siona-Tetete,Siona-Tetete,sion1247,Benefactive object only; transitive base only (24),0.31733,-76.0237
26,Secoya,Secoya,seco1241,Benefactive object only; transitive base only (24),-0.459785,-75.5547
27,Koreguaje,Koreguaje,kore1283,Benefactive object only; transitive base only (24),0.92316,-75.3475
28,Pima Bajo,Pima Bajo,pima1248,Benefactive object only; transitive base only (24),28.654,-108.326
29,Northern Tepehuan,Northern Tepehuan,nort2959,Benefactive object only; transitive base only (24),26.4348,-107.379
30,Central Tarahumara,Tarahumara,cent2131,Benefactive object only; transitive base only (24),27.5648,-107.154
31,Huarijio,Huarijio,huar1255,Benefactive object only; transitive base only (24),27.8685,-108.437
